year,state,city,code,name,measurement
2011,Texas,Midlothian,88103,Arsenic PM2.5 LC,1.7e-05
2011,Texas,Midlothian,88128,Lead PM2.5 LC,0.003503
2011,Texas,Mission,43803,Chloroform,0.011754
2011,Texas,Mission,45201,Benzene,1.505263
2011,Texas,Nederland,45201,Benzene,1.743209
2011,Texas,Odessa,45201,Benzene,1.905199
2011,Texas,Pasadena,43803,Chloroform,0.02322
2011,Texas,Pasadena,45201,Benzene,2.919661
2011,Texas,Pecan Acres,45201,Benzene,0.584494
2011,Texas,Port Arthur,43803,Chloroform,0.01964375
2011,Texas,Port Arthur,45201,Benzene,2.7255405
2011,Texas,Port Neches,43803,Chloroform,0.026
2011,Texas,Port Neches,45201,Benzene,1.824
2011,Texas,San Antonio,43803,Chloroform,0.012963
2011,Texas,San Antonio,45201,Benzene,1.561111
2011,Texas,Texas City,43803,Chloroform,0.018983
2011,Texas,Texas City,45201,Benzene,3.10678
2011,Texas,Flower Mound,45201,Benzene,0.763688
2011,Texas,Everman,45201,Benzene,0.796794
2012,Texas,Austin,43803,Chloroform,0.020727
2012,Texas,Austin,45201,Benzene,1.652727
2012,Texas,Baytown,43803,Chloroform,0.031875
2012,Texas,Baytown,45201,Benzene,2.83625
2012,Texas,Beaumont,43803,Chloroform,0.0235605
2012,Texas,Beaumont,45201,Benzene,2.28555566666667
2012,Texas,Brownsville,43803,Chloroform,0.012982
2012,Texas,Brownsville,45201,Benzene,1.106316
2012,Texas,Channelview,43803,Chloroform,0.05463
2012,Texas,Channelview,45201,Benzene,5.4606835
2012,Texas,Clute (corporate name for Clute City),43803,Chloroform,0.023036
2012,Texas,Clute (corporate name for Clute City),45201,Benzene,1.138929
2012,Texas,Conroe,43803,Chloroform,0.018305
2012,Texas,Conroe,45201,Benzene,1.404407
2012,Texas,Corpus Christi,43803,Chloroform,0.012336
2012,Texas,Corpus Christi,45201,Benzene,3.22937875
2012,Texas,Corpus Christi,88103,Arsenic PM2.5 LC,7.3e-05
2012,Texas,Corpus Christi,88128,Lead PM2.5 LC,0.001713
2012,Texas,Dallas,43803,Chloroform,0.021455
2012,Texas,Dallas,45201,Benzene,1.087629
2012,Texas,Dallas,88103,Arsenic PM2.5 LC,0.0003145
2012,Texas,Dallas,88128,Lead PM2.5 LC,0.003573
2012,Texas,Deer Park,43803,Chloroform,0.0383403333333333
2012,Texas,Deer Park,45201,Benzene,2.63048575
2012,Texas,Deer Park,88103,Arsenic PM2.5 LC,0.000752
2012,Texas,Deer Park,88128,Lead PM2.5 LC,0.0010245
2012,Texas,Denton,43803,Chloroform,0.011333
2012,Texas,Denton,45201,Benzene,1.19
2012,Texas,El Paso,43803,Chloroform,0.0173366666666667
2012,Texas,El Paso,45201,Benzene,1.9159168
2012,Texas,El Paso,88103,Arsenic PM2.5 LC,0.00056
2012,Texas,El Paso,88128,Lead PM2.5 LC,0.003211
2012,Texas,Fort Worth,43803,Chloroform,0.015424
2012,Texas,Fort Worth,45201,Benzene,1.2214045
2012,Texas,Galena Park,43803,Chloroform,0.048723
2012,Texas,Galena Park,45201,Benzene,6.102128
2012,Texas,Galveston,43803,Chloroform,0.014727
2012,Texas,Galveston,45201,Benzene,0.985091
2012,Texas,Grapevine,43803,Chloroform,0.017636
2012,Texas,Grapevine,45201,Benzene,1.017818
2012,Texas,Greenville,43803,Chloroform,0.016333
2012,Texas,Greenville,45201,Benzene,0.993
2012,Texas,Houston,43803,Chloroform,0.0374016666666667
2012,Texas,Houston,45201,Benzene,2.54926466666667
2012,Texas,Kaufman,43803,Chloroform,0.012881
2012,Texas,Kaufman,45201,Benzene,0.915254
2012,Texas,La Porte,43803,Chloroform,0.130172
2012,Texas,La Porte,45201,Benzene,3.786207
2012,Texas,Laredo,43803,Chloroform,0.012917
2012,Texas,Laredo,45201,Benzene,3.90875
2012,Texas,Mercedes,43803,Chloroform,0.012791
2012,Texas,Mercedes,45201,Benzene,0.85814
2012,Texas,Midlothian,43803,Chloroform,0.01431
2012,Texas,Midlothian,45201,Benzene,0.841034
2012,Texas,Midlothian,88103,Arsenic PM2.5 LC,5.9e-05
2012,Texas,Midlothian,88128,Lead PM2.5 LC,0.002578
2012,Texas,Mission,43803,Chloroform,0.016316
2012,Texas,Mission,45201,Benzene,1.3
2012,Texas,Nederland,45201,Benzene,1.588425
2012,Texas,Odessa,45201,Benzene,1.818034
2012,Texas,Pasadena,43803,Chloroform,0.038621
2012,Texas,Pasadena,45201,Benzene,3.155172
2012,Texas,Port Arthur,43803,Chloroform,0.0237655
2012,Texas,Port Arthur,45201,Benzene,3.5108265
2012,Texas,Port Neches,43803,Chloroform,0.033279
2012,Texas,Port Neches,45201,Benzene,1.948525
2012,Texas,San Antonio,43803,Chloroform,0.012941
2012,Texas,San Antonio,45201,Benzene,1.577647
2012,Texas,Socorro,43803,Chloroform,0.02
2012,Texas,Socorro,45201,Benzene,2.1
2012,Texas,Texas City,43803,Chloroform,0.023818
2012,Texas,Texas City,45201,Benzene,2.453455
2013,Texas,Austin,43803,Chloroform,0.019167
2013,Texas,Austin,45201,Benzene,1.494
2013,Texas,Baytown,43803,Chloroform,0.032549
2013,Texas,Baytown,45201,Benzene,2.214118
2013,Texas,Beaumont,43803,Chloroform,0.0204495
2013,Texas,Beaumont,45201,Benzene,2.02011866666667
2013,Texas,Brownsville,43803,Chloroform,0.014035
2013,Texas,Brownsville,45201,Benzene,1.212632
2013,Texas,Channelview,43803,Chloroform,0.061207
2013,Texas,Channelview,45201,Benzene,4.046313
2013,Texas,Clute (corporate name for Clute City),43803,Chloroform,0.024833
2013,Texas,Clute (corporate name for Clute City),45201,Benzene,0.952
2013,Texas,Conroe,43803,Chloroform,0.015909
2013,Texas,Conroe,45201,Benzene,1.412727
2013,Texas,Corpus Christi,43803,Chloroform,0.00879466666666667
2013,Texas,Corpus Christi,45201,Benzene,2.84846275
2013,Texas,Corpus Christi,88103,Arsenic PM2.5 LC,8.6e-05
2013,Texas,Corpus Christi,88128,Lead PM2.5 LC,0.001931
2013,Texas,Dallas,43803,Chloroform,0.019153
2013,Texas,Dallas,45201,Benzene,1.0395735
2013,Texas,Dallas,88103,Arsenic PM2.5 LC,0.000308
2013,Texas,Dallas,88128,Lead PM2.5 LC,0.0014725
2013,Texas,Deer Park,43803,Chloroform,0.0297345
2013,Texas,Deer Park,45201,Benzene,2.37439566666667
2013,Texas,Deer Park,88103,Arsenic PM2.5 LC,0.0009365
2013,Texas,Deer Park,88128,Lead PM2.5 LC,0.000953
2013,Texas,Denton,43803,Chloroform,0.012203
